 Name                       Version      License                                                       
 Jinja2                     3.1.4        BSD License                                                   
 MarkupSafe                 3.0.1        BSD License                                                   
 PyJWT                      2.9.0        MIT License                                                   
 PyYAML                     6.0.2        MIT License                                                   
 Pygments                   2.18.0       BSD License                                                   
 SQLAlchemy                 2.0.34       MIT License                                                   
 aiohappyeyeballs           2.4.0        Other/Proprietary License; Python Software Foundation License 
 aiohttp                    3.10.5       Apache Software License                                       
 aiosignal                  1.3.1        Apache Software License                                       
 annotated-types            0.7.0        MIT License                                                   
 anyio                      4.4.0        MIT License                                                   
 appnope                    0.1.4        BSD License                                                   
 asn1crypto                 1.5.1        MIT License                                                   
 asttokens                  2.4.1        Apache 2.0                                                    
 attrs                      24.2.0       MIT License                                                   
 aws-lambda-powertools      2.43.1       MIT License; MIT No Attribution License (MIT-0)               
 backcall                   0.2.0        BSD License                                                   
 bandit                     1.7.10       Apache Software License                                       
 beautifulsoup4             4.12.3       MIT License                                                   
 black                      23.12.1      MIT License                                                   
 bleach                     6.1.0        Apache Software License                                       
 boto3                      1.35.19      Apache Software License                                       
 botocore                   1.35.19      Apache Software License                                       
 certifi                    2024.8.30    Mozilla Public License 2.0 (MPL 2.0)                          
 cffi                       1.17.1       MIT License                                                   
 charset-normalizer         3.3.2        MIT License                                                   
 click                      8.1.7        BSD License                                                   
 colorama                   0.4.6        BSD License                                                   
 coverage                   7.6.1        Apache Software License                                       
 cryptography               36.0.2       Apache Software License; BSD License                          
 decorator                  5.1.1        BSD License                                                   
 defusedxml                 0.7.1        Python Software Foundation License                            
 docopt                     0.6.2        MIT License                                                   
 executing                  2.1.0        MIT License                                                   
 fastjsonschema             2.20.0       BSD License                                                   
 flake8                     7.1.1        MIT License                                                   
 frozenlist                 1.4.1        Apache Software License                                       
 h11                        0.14.0       MIT License                                                   
 httpcore                   1.0.5        BSD License                                                   
 httpx                      0.27.2       BSD License                                                   
 idna                       3.10         BSD License                                                   
 iniconfig                  2.0.0        MIT License                                                   
 ipython                    8.12.3       BSD License                                                   
 jedi                       0.19.1       MIT License                                                   
 jmespath                   1.0.1        MIT License                                                   
 jsonpatch                  1.33         BSD License                                                   
 jsonpointer                3.0.0        BSD License                                                   
 jsonschema                 4.23.0       MIT License                                                   
 jsonschema-specifications  2024.10.1    MIT License                                                   
 jupyter_client             8.6.3        BSD License                                                   
 jupyter_core               5.7.2        BSD License                                                   
 jupyterlab_pygments        0.3.0        BSD License                                                   
 langchain                  0.2.16       MIT License                                                   
 langchain-core             0.2.40       MIT License                                                   
 langchain-text-splitters   0.2.4        MIT License                                                   
 langsmith                  0.1.120      MIT License                                                   
 markdown-it-py             3.0.0        MIT License                                                   
 matplotlib-inline          0.1.7        BSD License                                                   
 mccabe                     0.7.0        MIT License                                                   
 mdurl                      0.1.2        MIT License                                                   
 mistune                    3.0.2        BSD License                                                   
 multidict                  6.1.0        Apache Software License                                       
 mypy                       1.11.2       MIT License                                                   
 mypy-extensions            1.0.0        MIT License                                                   
 nbclient                   0.10.0       BSD License                                                   
 nbconvert                  7.16.4       BSD License                                                   
 nbformat                   5.10.4       BSD License                                                   
 numpy                      1.26.4       BSD License                                                   
 orjson                     3.10.7       Apache Software License; MIT License                          
 packaging                  24.1         Apache Software License; BSD License                          
 pandocfilters              1.5.1        BSD License                                                   
 parso                      0.8.4        MIT License                                                   
 pathspec                   0.12.1       Mozilla Public License 2.0 (MPL 2.0)                          
 pbr                        6.1.0        Apache Software License                                       
 pep8-naming                0.13.3       MIT License                                                   
 pexpect                    4.9.0        ISC License (ISCL)                                            
 pg8000                     1.31.2       BSD License                                                   
 pgvector                   0.2.5        MIT                                                           
 pickleshare                0.7.5        MIT License                                                   
 pipreqs                    0.5.0        Apache Software License                                       
 platformdirs               4.3.3        MIT License                                                   
 pluggy                     1.5.0        MIT License                                                   
 prompt_toolkit             3.0.48       BSD License                                                   
 psutil                     5.9.8        BSD License                                                   
 ptyprocess                 0.7.0        ISC License (ISCL)                                            
 pure_eval                  0.2.3        MIT License                                                   
 py                         1.11.0       MIT License                                                   
 pycodestyle                2.12.1       MIT License                                                   
 pycparser                  2.22         BSD License                                                   
 pydantic                   2.9.1        MIT License                                                   
 pydantic_core              2.23.3       MIT License                                                   
 pyflakes                   3.2.0        MIT License                                                   
 pypdf                      4.3.1        BSD License                                                   
 pytest                     7.1.2        MIT License                                                   
 pytest-cov                 4.1.0        MIT License                                                   
 pytest-mock                3.14.0       MIT License                                                   
 python-dateutil            2.9.0.post0  Apache Software License; BSD License                          
 pyzmq                      26.2.0       BSD License                                                   
 referencing                0.35.1       MIT License                                                   
 requests                   2.32.3       Apache Software License                                       
 rich                       13.9.2       MIT License                                                   
 rpds-py                    0.20.0       MIT License                                                   
 ruff                       0.0.291      MIT License                                                   
 s3transfer                 0.10.2       Apache Software License                                       
 scramp                     1.4.5        MIT No Attribution License (MIT-0)                            
 six                        1.16.0       MIT License                                                   
 sniffio                    1.3.1        Apache Software License; MIT License                          
 soupsieve                  2.6          MIT License                                                   
 stack-data                 0.6.3        MIT License                                                   
 stevedore                  5.3.0        Apache Software License                                       
 taskipy                    1.13.0       MIT License                                                   
 tenacity                   8.5.0        Apache Software License                                       
 tinycss2                   1.3.0        BSD License                                                   
 tornado                    6.4.1        Apache Software License                                       
 traitlets                  5.14.3       BSD License                                                   
 typing_extensions          4.12.2       Python Software Foundation License                            
 urllib3                    2.2.3        MIT License                                                   
 webencodings               0.5.1        BSD License                                                   
 yarg                       0.1.9        MIT License                                                   
 yarl                       1.11.1       Apache Software License                                       
